-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/30/2023 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS10M_MAX     MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
-END HEADER-
LAT,LON,YEAR,DOY,WS10M_MAX
46.5,-116.875,2023,1,1.48
46.5,-116.25,2023,1,1.32
46.5,-115.625,2023,1,0.94
46.5,-115.0,2023,1,1.71
46.5,-114.375,2023,1,1.9
47.0,-116.875,2023,1,1.42
47.0,-116.25,2023,1,1.25
47.0,-115.625,2023,1,1.53
47.0,-115.0,2023,1,2.01
47.0,-114.375,2023,1,1.98
47.5,-116.875,2023,1,1.55
47.5,-116.25,2023,1,1.75
47.5,-115.625,2023,1,2.05
47.5,-115.0,2023,1,2.17
47.5,-114.375,2023,1,1.99
48.0,-116.875,2023,1,1.02
48.0,-116.25,2023,1,1.78
48.0,-115.625,2023,1,2.08
48.0,-115.0,2023,1,2.22
48.0,-114.375,2023,1,1.99
48.5,-116.875,2023,1,1.08
48.5,-116.25,2023,1,1.74
48.5,-115.625,2023,1,1.97
48.5,-115.0,2023,1,2.22
48.5,-114.375,2023,1,2.01
46.5,-116.875,2023,2,3.85
46.5,-116.25,2023,2,3.09
46.5,-115.625,2023,2,2.67
46.5,-115.0,2023,2,2.81
46.5,-114.375,2023,2,2.87
47.0,-116.875,2023,2,2.74
47.0,-116.25,2023,2,3.07
47.0,-115.625,2023,2,3.02
47.0,-115.0,2023,2,2.58
47.0,-114.375,2023,2,2.15
47.5,-116.875,2023,2,2.44
47.5,-116.25,2023,2,2.48
47.5,-115.625,2023,2,2.36
47.5,-115.0,2023,2,1.68
47.5,-114.375,2023,2,1.63
48.0,-116.875,2023,2,2.28
48.0,-116.25,2023,2,2.29
48.0,-115.625,2023,2,2.43
48.0,-115.0,2023,2,1.72
48.0,-114.375,2023,2,1.59
48.5,-116.875,2023,2,2.45
48.5,-116.25,2023,2,2.5
48.5,-115.625,2023,2,2.05
48.5,-115.0,2023,2,2.01
48.5,-114.375,2023,2,1.91
46.5,-116.875,2023,3,3.1
46.5,-116.25,2023,3,3.09
46.5,-115.625,2023,3,2.72
46.5,-115.0,2023,3,2.87
46.5,-114.375,2023,3,2.96
47.0,-116.875,2023,3,2.76
47.0,-116.25,2023,3,3.21
47.0,-115.625,2023,3,2.94
47.0,-115.0,2023,3,2.92
47.0,-114.375,2023,3,2.52
47.5,-116.875,2023,3,2.89
47.5,-116.25,2023,3,2.98
47.5,-115.625,2023,3,2.77
47.5,-115.0,2023,3,2.41
47.5,-114.375,2023,3,2.35
48.0,-116.875,2023,3,2.68
48.0,-116.25,2023,3,2.3
48.0,-115.625,2023,3,2.04
48.0,-115.0,2023,3,1.86
48.0,-114.375,2023,3,2.08
48.5,-116.875,2023,3,2.21
48.5,-116.25,2023,3,1.82
48.5,-115.625,2023,3,2.09
48.5,-115.0,2023,3,2.01
48.5,-114.375,2023,3,2.06
46.5,-116.875,2023,4,4.89
46.5,-116.25,2023,4,3.45
46.5,-115.625,2023,4,2.81
46.5,-115.0,2023,4,2.8
46.5,-114.375,2023,4,2.79
47.0,-116.875,2023,4,4.06
47.0,-116.25,2023,4,3.1
47.0,-115.625,2023,4,2.73
47.0,-115.0,2023,4,2.58
47.0,-114.375,2023,4,2.68
47.5,-116.875,2023,4,3.35
47.5,-116.25,2023,4,2.88
47.5,-115.625,2023,4,2.46
